Total duration (ms),Start date,Start station,End date,End station,Bike number,Subscription Type
490196,01/01/2015 01:56,11th & H St NE,01/01/2015 02:05,Lincoln Park / 13th & East Capitol St NE ,W00283,Casual
499313,01/01/2015 01:56,11th & H St NE,01/01/2015 02:05,Lincoln Park / 13th & East Capitol St NE ,W21556,Casual
236524,01/01/2015 01:56,Wilson Blvd & Franklin Rd,01/01/2015 02:00,N Veitch  & 20th St N,W00719,Registered
926036,01/01/2015 01:57,14th & G St NW,01/01/2015 02:12,17th & Corcoran St NW,W20047,Registered
884901,01/01/2015 01:57,14th & G St NW,01/01/2015 02:12,17th & Corcoran St NW,W01479,Registered
436017,01/01/2015 01:57,8th & H St NW,01/01/2015 02:05,7th & F St NW / National Portrait Gallery,W00324,Registered
742285,01/01/2015 01:57,Lamont & Mt Pleasant NW,01/01/2015 02:10,14th & Rhode Island Ave NW,W21720,Registered
235631,01/01/2015 01:58,Clarendon Metro / Wilson Blvd & N Highland St,01/01/2015 02:02,Lee Hwy & N Cleveland St,W00064,Registered
488255,01/01/2015 01:58,Florida Ave & R St NW,01/01/2015 02:06,15th & P St NW,W20472,Registered
305421,01/01/2015 01:58,Takoma Metro,01/01/2015 02:03,Maple & Ritchie Ave,W21764,Registered
110550,01/01/2015 01:59,1st & M St NE,01/01/2015 02:00,1st & M St NE,W20703,Registered
570232,01/01/2015 01:59,Massachusetts Ave & Dupont Circle NW,01/01/2015 02:09,7th & T St NW,W01128,Registered
1094848,01/01/2015 02:00,C & O Canal & Wisconsin Ave NW,01/01/2015 02:18,12th & L St NW,W01097,Registered
246538,01/01/2015 02:00,18th & R St NW,01/01/2015 02:04,15th & P St NW,W20614,Registered
259599,01/01/2015 02:00,18th & R St NW,01/01/2015 02:04,15th & P St NW,W01243,Registered
505995,01/01/2015 02:01,18th St & Wyoming Ave NW,01/01/2015 02:09,14th & V St NW,W20331,Registered
434182,01/01/2015 02:02,N Pershing Dr & Wayne St,01/01/2015 02:09,Barton St & 10th St N,W21175,Registered
392704,01/01/2015 02:02,N Pershing Dr & Wayne St,01/01/2015 02:09,Barton St & 10th St N,W01148,Registered
391342,01/01/2015 02:03,18th St & Wyoming Ave NW,01/01/2015 02:09,14th & V St NW,W20018,Registered
1631841,01/01/2015 02:03,14th & Harvard St NW,01/01/2015 02:30,13th & H St NE,w00527,Registered
309065,01/01/2015 02:03,14th & Rhode Island Ave NW,01/01/2015 02:08,12th & U St NW,W00028,Registered
490655,01/01/2015 02:04,14th St & Spring Rd NW,01/01/2015 02:12,14th & Harvard St NW,W21465,Registered
777980,01/01/2015 02:05,18th & R St NW,01/01/2015 02:18,New Hampshire Ave & 24th St NW,W21411,Registered
452182,01/01/2015 02:05,14th & Belmont St NW,01/01/2015 02:13,3rd & Elm St NW,W20457,Registered
1527506,01/01/2015 02:05,Wilson Blvd & N Uhle St,01/01/2015 02:31,Convention Center / 7th & M St NW,W21199,Registered
440949,01/01/2015 02:05,14th & Belmont St NW,01/01/2015 02:13,3rd & Elm St NW,W21179,Registered
750247,01/01/2015 02:06,11th & Kenyon St NW,01/01/2015 02:18,Convention Center / 7th & M St NW,W20075,Registered
650183,01/01/2015 02:07,1st & M St NE,01/01/2015 02:17,13th & H St NE,W20644,Registered
1871990,01/01/2015 02:07,Pentagon City Metro / 12th & S Hayes St,01/01/2015 02:38,Lynn & 19th St North,W21547,Casual
22011,01/01/2015 02:07,14th & V St NW,01/01/2015 02:07,14th & V St NW,W20114,Registered
703189,01/01/2015 02:07,14th St & Spring Rd NW,01/01/2015 02:19,14th & Rhode Island Ave NW,W21351,Registered
1052654,01/01/2015 02:07,Fort Totten Metro,01/01/2015 02:25,Georgia & New Hampshire Ave NW,W01041,Registered
568547,01/01/2015 02:08,1st & M St NE,01/01/2015 02:17,13th & H St NE,W20703,Registered
1468467,01/01/2015 02:08,M St & Pennsylvania Ave NW,01/01/2015 02:32,7th & T St NW,W01104,Registered
5949,01/01/2015 02:08,Columbus Circle / Union Station,01/01/2015 02:08,Columbus Circle / Union Station,W20904,Registered
708259,01/01/2015 02:08,Columbus Circle / Union Station,01/01/2015 02:20,Lincoln Park / 13th & East Capitol St NE ,W00505,Registered
717717,01/01/2015 02:08,17th St & Massachusetts Ave NW,01/01/2015 02:20,7th & R St NW / Shaw Library,W01139,Registered
666608,01/01/2015 02:09,Georgia & New Hampshire Ave NW,01/01/2015 02:20,Thomas Circle,W21970,Registered
2701929,01/01/2015 02:10,King St Metro,01/01/2015 02:55,Lincoln Memorial,W00295,Registered
335200,01/01/2015 02:11,California St & Florida Ave NW,01/01/2015 02:17,Columbia Rd & Belmont St NW,W20548,Registered
517207,01/01/2015 02:12,14th & R St NW,01/01/2015 02:21,New Jersey Ave & R St NW,W21664,Registered
233981,01/01/2015 02:12,7th & T St NW,01/01/2015 02:16,3rd & Elm St NW,W21253,Registered
424657,01/01/2015 02:14,14th & Rhode Island Ave NW,01/01/2015 02:21,1st & Rhode Island Ave NW,W21852,Registered
568765,01/01/2015 02:14,Lynn & 19th St North,01/01/2015 02:23,N Veitch  & 20th St N,W21124,Registered
643251,01/01/2015 02:14,14th & R St NW,01/01/2015 02:25,New Jersey Ave & R St NW,W21119,Registered
1374211,01/01/2015 02:14,14th & Rhode Island Ave NW,01/01/2015 02:37,1st & K St SE,W21341,Registered
857649,01/01/2015 02:15,7th & R St NW / Shaw Library,01/01/2015 02:29,Georgia & New Hampshire Ave NW,W01054,Registered
787685,01/01/2015 02:16,12th & U St NW,01/01/2015 02:29,5th St & Massachusetts Ave NW,W21648,Registered
284893,01/01/2015 02:16,15th & P St NW,01/01/2015 02:20,Massachusetts Ave & Dupont Circle NW,W20614,Casual
308162,01/01/2015 02:16,15th & P St NW,01/01/2015 02:21,Massachusetts Ave & Dupont Circle NW,W01243,Registered
